"reef_number","reef_id","latitude","long","replicate_reef","reef_name","reef_zone","reef_area_ha","reef_visibility","image_date","image_year","enterer_initials","entered_date","distance_mainland_km","number_reef_nearest_1","zone_reef_nearest_1","area_reef_nearest_1","distance_reef_nearest_1","number_reef_nearest_2","zone_reef_nearest_2","area_reef_nearest_2","reef_nearest_2","number_reef_nearest_3","zone_reef_nearest_3","area_reef_nearest_3","reef_nearest_3","patch_id","replicate_patch","patch_zone_colour","patch_zone_name","patch_perimeter_m","patch_area_m2","patch_rugosity","halo_id","halo_perimeter_m","halo_area_m2","halo_rugosity","halo_width_1","halo_width_2","halo_width_3","halo_width_4","halo_width_5","notes","old_zone","zone_broad","zone_broad_pre2003","inital_reserve_estab_year","reserve_age","image_month","image_season","imagery_used","halos_present","zone_specific","abs_latitude","log_distance_mainland_km","log10_patch_area_m2","halos_present_bin","zone_broad_adj","temp_sst","chl_log"
"10-349","R0003",10.7,143.433313,3,"U/N Reef","HPZ",134.99,"BR","2006",2006,"EMPM","10/06/11",89.17,"10-350","HPZ","50.47",2.09,"10-387","HPZ",723.84,6.28,"99-508","N/A (not in GBRMPA; count as GUZ)",355.4,6.44,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.7,1.95506206967503,NA,NA,"fished",300.541137695312,-0.448632099871302
"10-350","R0004",10.7,143.465036,4,"U/N Reef","HPZ",50.47,"BR","2006",2006,"EMPM","10/06/11",93.93,"10-349","HPZ","134.99",2.09,"10-387","HPZ",723.84,6.32,"99-508","N/A (not in GBRMPA; count as GUZ)",355.4,6.97,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.7,1.97740348087343,NA,NA,"fished",300.519073486328,-0.448632099871302
"10-353","R4005",10.75,143.090919,3,"U/N Reef","HPZ",247.17,"BR, CC","2005",2005,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.75,NA,NA,NA,"fished",300.564575195312,-0.127441053590887
"10-354","R4006",10.75,143.369698,4,"U/N Reef","GUZ",50.1,"DR","2006",2006,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.75,NA,NA,NA,"fished",300.553100585938,-0.477832271830486
"10-361","R4010",10.85,143.403385,2,"U/N Reef","MNPZ",199.7,"BR","2006",2006,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","protected","fished",2003,3,NA,NA,NA,NA,"young reserve",10.85,NA,NA,NA,"fished",300.5322265625,-0.311291716060738
"10-362","R4009",10.85,143.23717,1,"U/N Reef","HPZ",168.81,"BR","2002",2002,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.85,NA,NA,NA,"fished",300.554718017578,-0.162477878304846
"10-363","R0020",10.9,143.242461,3,"U/N Reef","GUZ",94.43,"BR","2002",2002,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.9,NA,NA,NA,"fished",300.545349121094,-0.162477878304846
"10-364","R0019",10.9,143.211196,2,"U/N Reef","HPZ",127.57,"BR","2002",2002,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.9,NA,NA,NA,"fished",300.545349121094,-0.162477878304846
"10-367","R0021",10.9,143.375194,4,"U/N Reef","MNPZ",415.96,"BR","2002",2002,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","protected","fished",2003,0,NA,NA,NA,NA,"young reserve",10.9,NA,NA,NA,"fished",300.5380859375,-0.311291716060738
"10-371","R4018",10.95,143.24395,4,"U/N Reef","HPZ",146.11,"BR","2002",2002,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.95,NA,NA,NA,"fished",300.535797119141,-0.466404444852084
"10-372","R4017",10.95,143.156957,3,"U/N Reef","HPZ",84.07,"BR","2002",2002,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.95,NA,NA,NA,"fished",300.532623291016,-0.000971107666720224
"10-373","R4016",10.95,143.129204,2,"U/N Reef","HPZ",76.7,"BR","2002",2002,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.95,NA,NA,NA,"fished",300.528259277344,-0.000971107666720224
"10-378","R0023",10.9,143.508316,6,"U/N Reef","MNPZ",524.98,"DR","2006",2006,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","protected","fished",2003,3,NA,NA,NA,NA,"young reserve",10.9,NA,NA,NA,"fished",300.492401123047,-0.689973750339094
"10-381","R0007",10.7,143.960001,7,"U/N Reef","MNPZ",1127.35,"BR","2006",2006,"EMPM","10/06/11",150.94,"10-384","MNPZ","979.82",0,"10-807","MNPZ",22.61,0,"99-809","N/Z (not in GBRMPA; count as GUZ)",38.41,0,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","protected","fished",2003,3,NA,NA,NA,NA,"young reserve",10.7,2.18167212206827,NA,NA,"fished",300.197021484375,1.23033437654776
"10-382","R0006",10.7,143.784105,6,"U/N Reef","HPZ",421.04,"BR","2006",2006,"EMPM","10/06/11",127.5,"10-393","GUZ","1911.41",6.66,"10-397","GUZ",73.65,6.61,"10-396","GUZ",252.04,9.31,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.7,2.10890312766731,NA,NA,"fished",300.297332763672,-0.869058130816349
"10-384","R0008",10.7,143.982628,8,"U/N Reef","MNPZ",979.82,"BR","2006",2006,"EMPM","10/06/11",132.56,"10-381","MNPZ","1127.35",0,"10-385","MNPZ",155.53,0,"10-386","MNPZ",454,0,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","MNPZ","protected","protected",1975,31,NA,NA,NA,NA,"mature reserve",10.7,2.12567641038233,NA,NA,"protected",300.197021484375,1.23033437654776
"10-387","R0005",10.7,143.51902,5,"U/N Reef","HPZ",723.84,"BR","2006",2006,"EMPM","10/06/11",97.8,"10-350","HPZ","50.47",3.25,"10-392","HPZ",8237.14,5.75,"10-349","HPZ",134.99,6.35,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.7,1.99475694458763,NA,NA,"fished",300.491546630859,-0.76599429850821
"10-391","R4008",10.75,143.979999,6,"Triangle Reef","MNPZ",1794.36,"DR, CC","2006",2006,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","MNPZ","protected","protected",1975,31,NA,NA,NA,NA,"mature reserve",10.75,NA,NA,NA,"protected",300.200347900391,1.23033437654776
"10-392","R0014",10.8,143.646087,6,"U/N Reef","HPZ",8237.14,"BR","2006",2006,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.8,NA,NA,NA,"fished",300.431457519531,-0.621705185307427
"10-393","R4007",10.75,143.761852,5,"U/N Reef","GUZ",1911.41,"DR","2006",2006,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.75,NA,NA,NA,"fished",300.305145263672,-0.869058130816349
"10-400","R0016",10.8,143.984407,8,"U/N Reef","MNPZ",355.65,"BR","2006",2006,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","MNPZ","protected","protected",1975,31,NA,NA,NA,NA,"mature reserve",10.8,NA,NA,NA,"protected",300.203521728516,1.35357670300067
"10-401","R0015",10.8,143.805296,7,"U/N Reef","GUZ",117.3,"BR","2006",2006,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.8,NA,NA,NA,"fished",300.273254394531,-0.622780168947781
"10-402","R0017",10.8,144.003946,9,"U/N Reef","MNPZ",812.73,"BR","2006",2006,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","MNPZ","protected","protected",1975,31,NA,NA,NA,NA,"mature reserve",10.8,NA,NA,NA,"protected",300.199279785156,-1.05143541916893
"10-405","R4013",10.85,143.75975,5,"U/N Reef","GUZ",430.07,"DR","2006",2006,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.85,NA,NA,NA,"fished",300.318298339844,-0.65822359318044
"10-406","R4014",10.85,144.014897,6,"U/N Reef","HPZ",907.82,"BR","2006",2006,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.85,NA,NA,NA,"fished",300.199554443359,0.992813933275117
"10-408","R4012",10.85,143.660935,4,"U/N Reef","MNPZ",169.14,"DR","2006",2006,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","protected","fished",2003,3,NA,NA,NA,NA,"young reserve",10.85,NA,NA,NA,"fished",300.398223876953,-0.818937322666987
"10-411","R0013",10.8,143.462653,5,"U/N Reef","HPZ",1163.78,"BR","2006",2006,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.8,NA,NA,NA,"fished",300.517486572266,-0.181447346482289
"10-411B","R4011",10.85,143.597495,3,"U/N Reef","MNPZ",4601.59,"BR","2006",2006,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","protected","fished",2003,3,NA,NA,NA,NA,"young reserve",10.85,NA,NA,NA,"fished",300.467224121094,-0.818937322666987
"10-412","R0028",10.9,144.023521,11,"U/N Reef","HPZ",1949.51,"BR","2006",2006,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.9,NA,NA,NA,"fished",300.199676513672,0.992813933275117
"10-413","R0025",10.9,143.556852,8,"U/N Reef","MNPZ",463.01,"BR","2006",2006,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","protected","fished",2003,3,NA,NA,NA,NA,"young reserve",10.9,NA,NA,NA,"fished",300.467681884766,-0.689973750339094
"10-416B","R4022",10.95,144.038055,8,"U/N Reef","HPZ",623.42,"BR","2006",2006,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.95,NA,NA,NA,"fished",300.198822021484,1.12266101766761
"10-418A","R0035",11,144.032042,7,"U/N Reef","HPZ",777.99,"DR","2006",2006,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",11,NA,NA,NA,"fished",300.198669433594,1.12266101766761
"10-419A","R0034",11,144.011826,6,"U/N Reef","HPZ",353.32,"BR","2006",2006,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",11,NA,NA,NA,"fished",300.198669433594,1.12266101766761
"10-423","R0026",10.9,143.657709,9,"U/N Reef","MNPZ",1107.8,"DR","2006",2006,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","protected","fished",2003,3,NA,NA,NA,NA,"young reserve",10.9,NA,NA,NA,"fished",300.401306152344,-0.818937322666987
"10-424","R0027",10.9,143.758898,10,"U/N Reef","GUZ",1834.42,"DR","2006",2006,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.9,NA,NA,NA,"fished",300.323699951172,-0.65822359318044
"10-425","R0024",10.9,143.528157,7,"U/N Reef","MNPZ",506.06,"DR","2006",2006,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","protected","fished",2003,3,NA,NA,NA,NA,"young reserve",10.9,NA,NA,NA,"fished",300.492401123047,-0.689973750339094
"10-426","R4021",10.95,144.017464,7,"U/N Reef","HPZ",463.95,"BR","2006",2006,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.95,NA,NA,NA,"fished",300.198822021484,1.12266101766761
"10-427","R4019",10.95,143.528233,5,"U/N Reef","GUZ",996.36,"BR, CC","2006",2006,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.95,NA,NA,NA,"fished",300.489929199219,-0.741780186803113
"10-431","R0009",10.8,142.57925,1,"U/N Reef","HPZ",30.28,"SR","2005",2005,"EMPM","10/06/11",0,"10-330","HPZ","214.97",0.77,"10-332","HPZ",97.21,2.12,"10-432","HPZ",151.21,2.07,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.8,0,NA,NA,"fished",300.594329833984,2.00061192486767
"10-437","R0022",10.9,143.450742,5,"U/N Reef","MNPZ",226.82,"BR","2002",2002,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","protected","fished",2003,0,NA,NA,NA,NA,"young reserve",10.9,NA,NA,NA,"fished",300.512725830078,-0.72472307864635
"10-439","R0032",11,143.650165,4,"U/N Reef","GUZ",4981.89,"CC","2006",2006,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",11,NA,NA,NA,"fished",300.404235839844,-0.814342202191211
"10-440","R4020",10.95,143.722611,6,"U/N Reef","GUZ",1445.74,"DR","2006",2006,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",10.95,NA,NA,NA,"fished",300.366546630859,-0.881429151073366
"10-441","R0033",11,143.736059,5,"U/N Reef","GUZ",2233.26,"CC","2006",2006,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",11,NA,NA,NA,"fished",300.368255615234,-0.881429151073366
"10-801","R0029",11,142.746855,1,"U/N Reef","HPZ",32.02,"NP","2/11/05",2005,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","U","fished","fished",NA,0,11,"spring",NA,NA,"fished",11,NA,NA,NA,"fished",300.539611816406,1.75004691889142
"11-008","R4036",11.25,142.819729,1,"U/N Reef","HPZ",161.22,"DR","31/04/11",2011,"AH","13/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",11.25,NA,NA,NA,"fished",300.482757568359,3.09260937463457
"11-009","R4037",11.25,142.872265,2,"Bushy Island Reef","HPZ",253.58,"NH","14/09/02",2002,"AH","13/06/12",6.06,"11-008","HPZ","161.22",4.51,"11-007","HPZ",17.07,4.75,"11-010","HPZ",206.22,4.49,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,9,"spring","imagery used in analysis","no halos","fished",11.25,0.848804701051804,NA,0,"fished",300.478637695312,0.679918354845997
"11-010","R4038",11.25,142.929085,3,"Cairncross Islets Reef","HPZ",206.22,"BR, SR","2002",2002,"AH","13/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",11.25,NA,NA,NA,"fished",300.474487304688,-0.127665751331569
"11-022","R4024",11.05,143.46295,2,"U/N Reef","GUZ",2753.15,"BR, CC","2006",2006,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",11.05,NA,NA,NA,"fished",300.497100830078,-0.67155863152877
"11-025","R4023",11.05,143.074689,1,"U/N Reef","HPZ",1693.98,"CC","2002",2002,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","HPZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",11.05,NA,NA,NA,"fished",300.5048828125,-0.286885419102492
"11-028","R0036",11.1,143.481904,1,"U/N Reef","GUZ",493.37,"DR","2006",2006,"EMPM","10/06/11",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",11.1,NA,NA,NA,"fished",300.489929199219,-0.66488560597069
"11-030","R4032",11.15,143.478379,3,"U/N Reef","GUZ",4073.78,"BR, CC","2006",2006,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",11.15,NA,NA,NA,"fished",300.481842041016,-0.66488560597069
"11-031","R4030",11.15,143.235729,1,"U/N Reef","GUZ",978.89,"DR","2002",2002,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",11.15,NA,NA,NA,"fished",300.495422363281,-0.559397510583747
"11-032","R4031",11.15,143.413275,2,"U/N Reef","GUZ",471.84,"BR, CC","2006",2006,"AH","12/06/12",NA,"","","",NA,"","",NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","GUZ","fished","fished",NA,0,NA,NA,NA,NA,"fished",11.15,NA,NA,NA,"fished",300.491271972656,-0.612066605160642
