"reef_number","reef_id","latitude","long","replicate_reef","reef_name","reef_zone","reef_area_ha","reef_visibility","image_date","image_year","enterer_initials","entered_date","distance_mainland_km","number_reef_nearest_1","zone_reef_nearest_1","area_reef_nearest_1","distance_reef_nearest_1","number_reef_nearest_2","zone_reef_nearest_2","area_reef_nearest_2","reef_nearest_2","number_reef_nearest_3","zone_reef_nearest_3","area_reef_nearest_3","reef_nearest_3","patch_id","replicate_patch","patch_zone_colour","patch_zone_name","patch_perimeter_m","patch_area_m2","patch_rugosity","halo_id","halo_perimeter_m","halo_area_m2","halo_rugosity","halo_width_1","halo_width_2","halo_width_3","halo_width_4","halo_width_5","notes","old_zone","zone_broad","zone_broad_pre2003","inital_reserve_estab_year","reserve_age","halo_width","halo_area","hw_pa","ha_pa","image_month","image_season","halo_area_excl_patch_area","log10_halo_area_excl_patch_area","log10_patch_area_m2","log10_halo_width_per_sqrt_patch_area","log10_halo_proportion_patch","log10_patch_perimeter_m","log10_halo_width","log10_hw_pa","abs_latitude","log_distance_mainland_km","zone_broad_adj","temp_sst","chl_log"
"10-327","R4604",10.7,142.738377,1,"South Ledge","HPZ",3712.02,"HP","11/06/05",2005,"AH","10/09/14",11.52,"99-312","unzoned","61.41",0.26,"10-325","unzoned",584.39,0.47,"99-304","unzoned",48.56,1.08,"P460401",1,"dark blue","HPZ",157.76,1816,NA,"H460401",202.18,3150.39,NA,9.49,6.74,6.25,4.26,8.66,"","HPZ","fished","fished",NA,0,7.08,1334.39,0.00389867841409692,0.734796255506608,6,"winter",1334.39,3.12528277867654,3.25911584418507,-0.779524664402764,-0.133833065508528,2.19799689759714,0.850033257689769,-2.4090825864953,10.7,1.09760432887441,"fished",300.5830078125,1.77889707359676
"11-156","R4055",11.55,143.016985,2,"Wizard Reef","MNPZ",2154.85,"HP","2002",2002,"AH","14/06/12",15.98,"11-062","MNPZ","491.89",2.02,"11-161","MNPZ",375.88,1.49,"11-061","MNPZ",302.86,3.71,"P405505",5,"green","MNPZ",29.72,59.7,NA,"H405505",74.36,388.68,NA,2.88,6.51,8.55,5.35,6.6,"","MNPZ","protected","protected",1975,27,5.978,328.98,0.100134003350084,5.5105527638191,NA,NA,328.98,2.51716949626712,1.77597433112937,-0.111431254861423,0.741195165137756,1.47304880508854,0.776555910703262,-0.999418420426106,11.55,1.22993768590793,"protected",300.425506591797,1.57535036456167
"11-156","R4055",11.55,143.016985,2,"Wizard Reef","MNPZ",2154.85,"HP","2002",2002,"AH","14/06/12",15.98,"11-062","MNPZ","491.89",2.02,"11-161","MNPZ",375.88,1.49,"11-061","MNPZ",302.86,3.71,"P405506",6,"green","MNPZ",26.29,50,NA,"H405506",59.71,272.56,NA,5.75,4.02,4.35,4.68,6.21,"","MNPZ","protected","protected",1975,27,5.002,222.56,0.10004,4.4512,NA,NA,222.56,2.34744711264797,1.69897000433602,-0.150341314773526,0.648477108311952,1.41979058610636,0.699143687394484,-0.999826316941535,11.55,1.22993768590793,"protected",300.425506591797,1.57535036456167
"11-156","R4055",11.55,143.016985,2,"Wizard Reef","MNPZ",2154.85,"HP","2002",2002,"AH","14/06/12",15.98,"11-062","MNPZ","491.89",2.02,"11-161","MNPZ",375.88,1.49,"11-061","MNPZ",302.86,3.71,"P405507",7,"green","MNPZ",33.82,83.71,NA,"H405507",67.16,349.9,NA,7.06,4.68,4.66,5.41,5.6,"","MNPZ","protected","protected",1975,27,5.482,266.19,0.0654879942659181,3.17990682116832,NA,NA,266.19,2.4251917362386,1.9227773419288,-0.222449639760919,0.502414394309806,1.52917360326172,0.73893903120348,-1.18383831072532,11.55,1.22993768590793,"protected",300.425506591797,1.57535036456167
"11-156","R4055",11.55,143.016985,2,"Wizard Reef","MNPZ",2154.85,"HP","2002",2002,"AH","14/06/12",15.98,"11-062","MNPZ","491.89",2.02,"11-161","MNPZ",375.88,1.49,"11-061","MNPZ",302.86,3.71,"P405508",8,"green","MNPZ",44.14,143.99,NA,"H405508",84.33,533.79,NA,5.14,10.11,7.19,5.73,3.45,"","MNPZ","protected","protected",1975,27,6.324,389.8,0.0439197166469894,2.70713243975276,NA,NA,389.8,2.5908418347816,2.15833233170898,-0.278174304594319,0.432509503072622,1.64483232882564,0.800991861260171,-1.35734047044881,11.55,1.22993768590793,"protected",300.425506591797,1.57535036456167
"11-156","R4055",11.55,143.016985,2,"Wizard Reef","MNPZ",2154.85,"HP","2002",2002,"AH","14/06/12",15.98,"11-062","MNPZ","491.89",2.02,"11-161","MNPZ",375.88,1.49,"11-061","MNPZ",302.86,3.71,"P405509",9,"green","MNPZ",41.04,111.54,NA,"H405509",88.18,580.75,NA,8.15,5.62,7.93,11.02,7.26,"","MNPZ","protected","protected",1975,27,7.996,469.21,0.0716872870719024,4.20665232203694,NA,NA,469.21,2.67136725940798,2.04743064015554,-0.120842534631692,0.623936619252441,1.61320735210376,0.902872785446079,-1.14455785470946,11.55,1.22993768590793,"protected",300.425506591797,1.57535036456167
"11-156","R4055",11.55,143.016985,2,"Wizard Reef","MNPZ",2154.85,"HP","2002",2002,"AH","14/06/12",15.98,"11-062","MNPZ","491.89",2.02,"11-161","MNPZ",375.88,1.49,"11-061","MNPZ",302.86,3.71,"P405510",10,"green","MNPZ",73.02,370.32,NA,"H405510",115.28,951.08,NA,5.73,8.88,4.94,7.98,7.85,"","MNPZ","protected","protected",1975,27,7.076,580.76,0.0191077986606178,1.56826528407863,NA,NA,580.76,2.76399669657374,2.56857716777475,-0.434500759649692,0.195419528798989,1.86344182861371,0.849787824237686,-1.71878934353707,11.55,1.22993768590793,"protected",300.425506591797,1.57535036456167
"11-156","R4055",11.55,143.016985,2,"Wizard Reef","MNPZ",2154.85,"HP","2002",2002,"AH","14/06/12",15.98,"11-062","MNPZ","491.89",2.02,"11-161","MNPZ",375.88,1.49,"11-061","MNPZ",302.86,3.71,"P405502",2,"green","MNPZ",29.75,63.45,NA,"H405502",66.34,331.42,NA,5.78,6.24,6.56,6.43,5.93,"","MNPZ","protected","protected",1975,27,6.188,267.97,0.0975256107171001,4.22332545311269,NA,NA,267.97,2.42808617625365,1.80243162643072,-0.109665508188032,0.625654549822926,1.47348697006457,0.79155030502733,-1.01088132140339,11.55,1.22993768590793,"protected",300.425506591797,1.57535036456167
"11-156","R4055",11.55,143.016985,2,"Wizard Reef","MNPZ",2154.85,"HP","2002",2002,"AH","14/06/12",15.98,"11-062","MNPZ","491.89",2.02,"11-161","MNPZ",375.88,1.49,"11-061","MNPZ",302.86,3.71,"P405504",4,"green","MNPZ",22.26,34.9,NA,"H405504",64.68,315.38,NA,4.75,8.75,5.74,5.63,4.56,"","MNPZ","protected","protected",1975,27,5.886,280.48,0.16865329512894,8.03667621776504,NA,NA,280.48,2.44790189874972,1.54282542695918,-0.00159245571599779,0.90507647179054,1.34752515999869,0.769820257763592,-0.773005169195587,11.55,1.22993768590793,"protected",300.425506591797,1.57535036456167
"11-156","R4055",11.55,143.016985,2,"Wizard Reef","MNPZ",2154.85,"HP","2002",2002,"AH","14/06/12",15.98,"11-062","MNPZ","491.89",2.02,"11-161","MNPZ",375.88,1.49,"11-061","MNPZ",302.86,3.71,"P405501",1,"green","MNPZ",104.52,837.9,NA,"H405501",164.9,2065.6,NA,6.68,11,7.68,8.56,9.35,"","MNPZ","protected","protected",1975,27,8.654,1227.7,0.010328201456021,1.46521064566177,NA,NA,1227.7,3.08909225584272,2.92319219042067,-0.524379204347628,0.165900065422052,2.01919940105529,0.937216890862705,-1.98597529955796,11.55,1.22993768590793,"protected",300.425506591797,1.57535036456167
"11-156","R4055",11.55,143.016985,2,"Wizard Reef","MNPZ",2154.85,"HP","2002",2002,"AH","14/06/12",15.98,"11-062","MNPZ","491.89",2.02,"11-161","MNPZ",375.88,1.49,"11-061","MNPZ",302.86,3.71,"P405503",3,"green","MNPZ",24.98,45.22,NA,"H405503",62.28,295.54,NA,5.57,6.76,3.6,5.15,5.99,"","MNPZ","protected","protected",1975,27,5.414,250.32,0.119725785050862,5.53560371517028,NA,NA,250.32,2.39849555013814,1.65533055800934,-0.0941470275701829,0.743164992128796,1.39759243403812,0.733518251434488,-0.921812306574855,11.55,1.22993768590793,"protected",300.425506591797,1.57535036456167
"11-173","R0098",11.8,143.375469,5,"Cockburn Reef","HPZ",29393.93,"HP","13/12/12",2012,"AH","26/09/14",10.99,"11-174","HPZ","334.96",0,"11-175","HPZ",64.95,0,"11-171","HPZ",131.98,0.2,"P009801",1,"dark blue","HPZ",59.96,228.54,NA,"H009801",126.97,1200.52,NA,11.43,10.93,9.75,8.89,15.41,"more halos but too much surface distortion","HPZ","fished","fished",NA,0,11.282,971.98,0.0493655377614422,4.25299728712698,12,"summer",971.98,2.98765732873389,2.35896222304459,-0.12709501613292,0.628695105689298,1.77786162417624,1.05238609538937,-1.30657612765522,11.8,1.07881918309885,"fished",300.340698242188,-0.118123139846346
"11-173","R0098",11.8,143.375469,5,"Cockburn Reef","HPZ",29393.93,"HP","13/12/12",2012,"AH","26/09/14",10.99,"11-174","HPZ","334.96",0,"11-175","HPZ",64.95,0,"11-171","HPZ",131.98,0.2,"P009802",2,"dark blue","HPZ",63.85,284.6,NA,"H009802",146.37,1625.55,NA,13.01,12.53,11,11.86,16.39,"more halos but too much surface distortion","HPZ","fished","fished",NA,0,12.958,1340.95,0.0455305692199578,4.71170063246662,12,"summer",1340.95,3.12741258461601,2.45423489574827,-0.114579472264825,0.673177688867742,1.80516090159943,1.11253797560931,-1.34169692013896,11.8,1.07881918309885,"fished",300.340698242188,-0.118123139846346
"11-173","R0098",11.8,143.375469,5,"Cockburn Reef","HPZ",29393.93,"HP","13/12/12",2012,"AH","26/09/14",10.99,"11-174","HPZ","334.96",0,"11-175","HPZ",64.95,0,"11-171","HPZ",131.98,0.2,"P009803",3,"dark blue","HPZ",122.58,1096.43,NA,"H009803",203.54,3086.64,NA,8.69,16.84,12.04,12.83,10.39,"more halos but too much surface distortion","HPZ","fished","fished",NA,0,12.158,1990.21,0.0110887151938564,1.81517287925358,12,"summer",1990.21,3.29889890406266,3.0399809099906,-0.435128315946878,0.258917994072061,2.08841961701609,1.08486213904842,-1.95511877094218,11.8,1.07881918309885,"fished",300.340698242188,-0.118123139846346
"11-184B","R4068",11.95,143.417278,2,"Wreck Reef","MNPZ",115.39,"HP","13/12/12",2012,"AH","26/09/14",18.22,"11-184C","MNPZ","19485.84",0,"12-030","HPZ",85605.02,2.5,"11-184A","MNPZ",106.82,3.9,"",NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"halos present but SR too bad to measure","MNPZ","protected","protected",1975,37,NA,NA,NA,NA,12,"summer",NA,NA,NA,NA,NA,NA,NA,NA,11.95,1.28375338333253,"protected",300.291442871094,-0.301249460514433
"11-184C","R0106",11.9,143.500794,2,"Sir Charles Hardy Islands Reef","MNPZ",19485.84,"HP","18/07/10",2010,"AH","26/09/14",14.11,"11-184A","MNPZ","106.82",0,"11-184B","MNPZ",115.39,0,"11-173","HPZ",29393.93,1.26,"P010601",1,"green","MNPZ",93.77,674.25,NA,"H010601",227.21,4022.51,NA,25.88,22.72,19.07,18.24,19.87,"","MNPZ","protected","protected",1975,35,21.156,3348.26,0.031377085650723,4.9659028550241,7,"winter",3348.26,3.52481917458438,2.82882095512493,-0.0889769192155176,0.695998219459456,1.97206391600802,1.32543355834695,-1.50338739677798,11.9,1.17926446433903,"protected",300.267486572266,-0.133191913867205
"11-184C","R0106",11.9,143.500794,2,"Sir Charles Hardy Islands Reef","MNPZ",19485.84,"HP","18/07/10",2010,"AH","26/09/14",14.11,"11-184A","MNPZ","106.82",0,"11-184B","MNPZ",115.39,0,"11-173","HPZ",29393.93,1.26,"P010602",2,"green","MNPZ",108.32,873,NA,"H010602",180.86,2364.16,NA,15.18,5.9,5.69,13.07,10.43,"","MNPZ","protected","protected",1975,35,10.054,1491.16,0.0115166093928981,1.70808705612829,7,"winter",1491.16,3.17352424532357,2.94101424370557,-0.468168240960728,0.232510001617996,2.03470865134107,1.00233888089206,-1.93867536281351,11.9,1.17926446433903,"protected",300.267486572266,-0.133191913867205
"11-184C","R0106",11.9,143.500794,2,"Sir Charles Hardy Islands Reef","MNPZ",19485.84,"HP","18/07/10",2010,"AH","26/09/14",14.11,"11-184A","MNPZ","106.82",0,"11-184B","MNPZ",115.39,0,"11-173","HPZ",29393.93,1.26,"P010603",3,"green","MNPZ",119.38,1104.55,NA,"H010603",256,4925.52,NA,20.36,14.95,21.53,32.13,15.73,"","MNPZ","protected","protected",1975,35,20.94,3820.97,0.0189579466751166,3.45930016748902,7,"winter",3820.97,3.58217362787799,3.04318537999252,-0.200616012653436,0.538988247885473,2.07693157455566,1.32097667734282,-1.72220870264969,11.9,1.17926446433903,"protected",300.267486572266,-0.133191913867205
"11-184C","R0106",11.9,143.500794,2,"Sir Charles Hardy Islands Reef","MNPZ",19485.84,"HP","18/07/10",2010,"AH","26/09/14",14.11,"11-184A","MNPZ","106.82",0,"11-184B","MNPZ",115.39,0,"11-173","HPZ",29393.93,1.26,"P010604",4,"green","MNPZ",46.21,161.36,NA,"H010604",230.59,4035.05,NA,26.72,26.8,20.23,28.99,39.52,"","MNPZ","protected","protected",1975,35,28.452,3873.69,0.176326227069906,24.0065071888944,7,"winter",3873.69,3.58812486246561,2.20779588520471,0.350214857423458,1.3803289772609,1.66473596851871,1.45411280002581,-0.753683085178896,11.9,1.17926446433903,"protected",300.267486572266,-0.133191913867205
"11-184C","R0106",11.9,143.500794,2,"Sir Charles Hardy Islands Reef","MNPZ",19485.84,"HP","18/07/10",2010,"AH","26/09/14",14.11,"11-184A","MNPZ","106.82",0,"11-184B","MNPZ",115.39,0,"11-173","HPZ",29393.93,1.26,"P010605",5,"green","MNPZ",58.46,259.73,NA,"H010605",215.86,3527.4,NA,28.67,25.28,14.96,20.75,30.84,"","MNPZ","protected","protected",1975,35,24.1,3267.67,0.0927886651522735,12.5810264505448,7,"winter",3267.67,3.51423819094008,2.41452211552065,0.174755984814543,1.09971607541943,1.76685881102142,1.38201704257487,-1.03250507294578,11.9,1.17926446433903,"protected",300.267486572266,-0.133191913867205
"11-184C","R0106",11.9,143.500794,2,"Sir Charles Hardy Islands Reef","MNPZ",19485.84,"HP","18/07/10",2010,"AH","26/09/14",14.11,"11-184A","MNPZ","106.82",0,"11-184B","MNPZ",115.39,0,"11-173","HPZ",29393.93,1.26,"P010606",6,"green","MNPZ",57.52,247.29,NA,"H010606",131.78,1320.2,NA,10.62,14.61,8.45,11.29,14.41,"","MNPZ","protected","protected",1975,35,11.876,1072.91,0.0480245865178535,4.33867119576206,7,"winter",1072.91,3.0305632931284,2.39320655456337,-0.121933088357676,0.637356738565035,1.75981887737483,1.07467018892401,-1.31853636563936,11.9,1.17926446433903,"protected",300.267486572266,-0.133191913867205
"11-184C","R0106",11.9,143.500794,2,"Sir Charles Hardy Islands Reef","MNPZ",19485.84,"HP","18/07/10",2010,"AH","26/09/14",14.11,"11-184A","MNPZ","106.82",0,"11-184B","MNPZ",115.39,0,"11-173","HPZ",29393.93,1.26,"P010607",7,"green","MNPZ",43.62,121.56,NA,"H010607",115.99,1032.3,NA,12.92,10.07,9.57,11.6,12.94,"","MNPZ","protected","protected",1975,35,11.42,910.74,0.0939453767686739,7.49210266535044,7,"winter",910.74,2.95939441135105,2.08479069140791,0.0152707582058766,0.874603719943147,1.63968566124268,1.05766610390983,-1.02712458749808,11.9,1.17926446433903,"protected",300.267486572266,-0.133191913867205
"11-184C","R0106",11.9,143.500794,2,"Sir Charles Hardy Islands Reef","MNPZ",19485.84,"HP","18/07/10",2010,"AH","26/09/14",14.11,"11-184A","MNPZ","106.82",0,"11-184B","MNPZ",115.39,0,"11-173","HPZ",29393.93,1.26,"P010608",8,"green","MNPZ",147.09,1348.7,NA,"H010608",273.11,5708.23,NA,27.85,23.99,19.94,11.13,23.29,"","MNPZ","protected","protected",1975,35,21.24,4359.53,0.0157484985541633,3.23239415733669,7,"winter",4359.53,3.63943967059678,3.12991535750442,-0.23780316634278,0.509524313092356,2.16758314796584,1.32715451240943,-1.80276084509499,11.9,1.17926446433903,"protected",300.267486572266,-0.133191913867205
"11-184C","R0106",11.9,143.500794,2,"Sir Charles Hardy Islands Reef","MNPZ",19485.84,"HP","18/07/10",2010,"AH","26/09/14",14.11,"11-184A","MNPZ","106.82",0,"11-184B","MNPZ",115.39,0,"11-173","HPZ",29393.93,1.26,"P010609",9,"green","MNPZ",111.7,855.64,NA,"H010609",232.8,4032.53,NA,18.59,22.55,15.33,22.23,16.54,"","MNPZ","protected","protected",1975,35,19.048,3176.89,0.0222616988453088,3.71288158571362,7,"winter",3176.89,3.50200217761592,2.93229107904724,-0.186296157126798,0.569711098568681,2.04805317311561,1.27984938239682,-1.65244169665042,11.9,1.17926446433903,"protected",300.267486572266,-0.133191913867205
"11-184C","R0106",11.9,143.500794,2,"Sir Charles Hardy Islands Reef","MNPZ",19485.84,"HP","18/07/10",2010,"AH","26/09/14",14.11,"11-184A","MNPZ","106.82",0,"11-184B","MNPZ",115.39,0,"11-173","HPZ",29393.93,1.26,"P010610",10,"green","MNPZ",62.84,289.96,NA,"H010610",163.2,2048.95,NA,17.89,9.79,11.64,17.27,20.46,"","MNPZ","protected","protected",1975,35,15.41,1758.99,0.0531452614153676,6.06631949234377,7,"winter",1758.99,3.24526337046533,2.4623380910802,-0.0433664068216793,0.78292527938513,1.79823617636794,1.18780263871842,-1.27453545236178,11.9,1.17926446433903,"protected",300.267486572266,-0.133191913867205
"12-003A","R0112",12,143.366739,2,"Mason Reef","HPZ",40203.66,"HP","10/05/12",2012,"AH","18/09/14",11.85,"12-007","HPZ","6365.56",0.56,"12-030","HPZ",85605.02,0.67,"12-001","HPZ",380.22,2.6,"P011201",1,"dark blue","HPZ",143.79,1268.7,NA,"H011201",236.75,4222.53,NA,19.3,19.45,11.64,8.41,15.6,"","HPZ","fished","fished",NA,0,14.88,2953.83,0.0117285410262473,2.32823362497044,5,"autumn",2953.83,3.47038549700625,3.10335893986656,-0.379076538723422,0.367026557139689,2.15772868371145,1.17260293120986,-1.9307560086567,12,1.10890312766731,"fished",300.293579101562,0.336005820676228
"12-003A","R0112",12,143.366739,2,"Mason Reef","HPZ",40203.66,"HP","10/05/12",2012,"AH","18/09/14",11.85,"12-007","HPZ","6365.56",0.56,"12-030","HPZ",85605.02,0.67,"12-001","HPZ",380.22,2.6,"P011202",2,"dark blue","HPZ",187.81,2258.11,NA,"H011202",229.55,3744.45,NA,8.57,9.01,7.85,5.16,6.58,"","HPZ","fished","fished",NA,0,7.434,1486.34,0.00329213368702145,0.65822302722188,5,"autumn",1486.34,3.17211816557122,3.35374509402359,-0.805649990252087,-0.181626928452365,2.2737187126862,0.871222556759707,-2.48252253726388,12,1.10890312766731,"fished",300.293579101562,0.336005820676228
"12-003A","R0112",12,143.366739,2,"Mason Reef","HPZ",40203.66,"HP","10/05/12",2012,"AH","18/09/14",11.85,"12-007","HPZ","6365.56",0.56,"12-030","HPZ",85605.02,0.67,"12-001","HPZ",380.22,2.6,"P011203",3,"dark blue","HPZ",109.15,678.25,NA,"H011203",171.54,2112.04,NA,13.14,14.43,6.65,8.86,8.3,"","HPZ","fished","fished",NA,0,10.276,1433.79,0.0151507556210837,2.11395503133063,5,"autumn",1433.79,3.15648554706413,2.83138980243363,-0.403870805622508,0.325095744630497,2.03802374004516,1.01182409559431,-1.81956570683932,12,1.10890312766731,"fished",300.293579101562,0.336005820676228
